2026/06/04 13:46:31 Listening on :8080
gc 83 @5.306s 1%: 0.077+0.59+0.004 ms clock, 1.8+0.64/3.0/0.001+0.10 ms cpu, 10->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 84 @5.315s 1%: 1.5+0.70+0.009 ms clock, 37+0.53/5.0/0+0.23 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 85 @5.327s 1%: 0.23+1.7+0.050 ms clock, 5.5+1.8/5.1/0.74+1.2 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 86 @5.337s 1%: 1.1+0.82+0.019 ms clock, 27+0.24/2.5/0+0.47 ms cpu, 11->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 87 @5.346s 1%: 0.68+1.7+0.044 ms clock, 16+1.0/4.2/0+1.0 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 88 @5.356s 1%: 0.67+0.22+0.014 ms clock, 16+0.65/2.8/0+0.33 ms cpu, 11->11->5 MB, 12 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 89 @5.365s 1%: 0.20+1.6+0.036 ms clock, 5.0+0.55/3.3/0+0.86 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 90 @5.377s 1%: 0.37+1.9+0.027 ms clock, 8.9+2.4/3.7/0+0.65 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 91 @5.391s 1%: 0.67+0.13+0.004 ms clock, 16+1.4/3.3/0.050+0.097 ms cpu, 10->11->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 92 @5.403s 1%: 0.34+1.4+0.058 ms clock, 8.1+3.0/4.3/0.070+1.3 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
