2026/06/04 13:38:03 Listening on :8080
gc 72 @9.347s 0%: 0.062+0.87+0.016 ms clock, 0.24+1.3/0.83/0+0.065 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 73 @9.362s 0%: 0.021+0.85+0.018 ms clock, 0.085+1.4/0.80/0+0.072 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 74 @9.378s 0%: 0.083+0.84+0.020 ms clock, 0.33+1.2/0.80/0+0.081 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 75 @9.392s 0%: 0.056+0.90+0.026 ms clock, 0.22+1.3/0.85/0+0.10 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 76 @9.408s 0%: 0.079+2.0+0.014 ms clock, 0.31+1.0/0.96/0+0.057 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 77 @9.425s 0%: 0.062+0.82+0.011 ms clock, 0.24+1.3/0.76/0+0.045 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 78 @9.441s 0%: 0.074+0.73+0.019 ms clock, 0.29+1.1/0.68/0+0.079 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 79 @9.456s 0%: 0.084+0.92+0.012 ms clock, 0.33+1.4/0.88/0+0.050 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 80 @9.470s 0%: 0.047+0.86+0.012 ms clock, 0.18+1.3/0.82/0+0.048 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 81 @9.485s 0%: 0.064+0.75+0.013 ms clock, 0.25+1.2/0.68/0+0.054 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 82 @9.499s 0%: 0.043+0.92+0.016 ms clock, 0.17+1.3/0.86/0+0.064 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 83 @9.514s 0%: 0.092+0.83+0.014 ms clock, 0.36+1.1/0.78/0+0.058 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 84 @9.529s 0%: 0.063+0.83+0.015 ms clock, 0.25+1.2/0.78/0+0.062 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 85 @9.543s 0%: 0.080+0.78+0.018 ms clock, 0.32+1.1/0.75/0+0.073 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 86 @9.558s 0%: 0.42+0.93+0.025 ms clock, 1.7+1.3/0.81/0+0.10 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 87 @9.573s 0%: 0.071+0.88+0.053 ms clock, 0.28+1.2/0.82/0+0.21 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 88 @9.589s 0%: 0.086+0.80+0.025 ms clock, 0.34+1.2/0.76/0+0.10 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 89 @9.604s 0%: 0.096+0.81+0.028 ms clock, 0.38+1.0/0.76/0+0.11 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 90 @9.619s 0%: 0.027+0.88+0.016 ms clock, 0.11+1.1/0.83/0+0.064 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 91 @9.634s 0%: 0.099+0.92+0.024 ms clock, 0.39+1.1/0.84/0+0.099 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 92 @9.649s 0%: 0.020+0.93+0.025 ms clock, 0.080+1.5/0.84/0+0.10 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 93 @9.665s 0%: 0.029+0.87+0.025 ms clock, 0.11+1.1/0.74/0+0.10 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 94 @9.680s 0%: 0.085+0.81+0.013 ms clock, 0.34+1.1/0.77/0+0.054 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 95 @9.694s 0%: 0.064+0.69+0.003 ms clock, 0.25+1.0/0.64/0+0.012 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 96 @9.709s 0%: 0.074+0.87+0.003 ms clock, 0.29+1.5/0.83/0+0.014 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 97 @9.725s 0%: 0.22+0.63+0.012 ms clock, 0.90+0.93/0.60/0+0.050 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 98 @9.739s 0%: 0.056+0.75+0.024 ms clock, 0.22+1.1/0.70/0+0.097 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 99 @9.754s 0%: 0.085+0.88+0.020 ms clock, 0.34+1.4/0.84/0+0.082 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 100 @9.770s 0%: 0.054+0.77+0.015 ms clock, 0.21+0.91/0.72/0+0.060 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 101 @9.784s 0%: 0.031+0.76+0.018 ms clock, 0.12+1.1/0.72/0+0.075 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 102 @9.799s 0%: 0.024+0.72+0.020 ms clock, 0.097+1.0/0.65/0+0.080 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 103 @9.812s 0%: 0.039+0.66+0.019 ms clock, 0.15+0.98/0.61/0+0.079 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
